subject,predicate,object
"Aalenian_quality","class","owl:Class"
"Aalenian_quality","subClassOf","geological_age"
"Aegean_Subage_quality","class","owl:Class"
"Aegean_Subage_quality","subClassOf","geological_age"
"Aeronian_quality","class","owl:Class"
"Aeronian_quality","subClassOf","geological_age"
"Alagoas_Age_quality","class","owl:Class"
"Alagoas_Age_quality","subClassOf","geological_age"
"Alaunian_Subage_quality","class","owl:Class"
"Alaunian_Subage_quality","subClassOf","geological_age"
"Albian_quality","class","owl:Class"
"Albian_quality","subClassOf","geological_age"
"Alportian_Subage_quality","class","owl:Class"
"Alportian_Subage_quality","subClassOf","geological_age"
"Anisian_quality","class","owl:Class"
"Anisian_quality","subClassOf","geological_age"
"Aptian_quality","class","owl:Class"
"Aptian_quality","subClassOf","geological_age"
"Aquitanian_quality","class","owl:Class"
"Aquitanian_quality","subClassOf","geological_age"
"Aratu_Age_quality","class","owl:Class"
"Aratu_Age_quality","subClassOf","geological_age"
"Archean_quality","class","owl:Class"
"Archean_quality","subClassOf","geological_age"
"Arenig_Epoch_quality","class","owl:Class"
"Arenig_Epoch_quality","subClassOf","geological_age"
"Arnsbergian_Subage_quality","class","owl:Class"
"Arnsbergian_Subage_quality","subClassOf","geological_age"
"Artinskian_quality","class","owl:Class"
"Artinskian_quality","subClassOf","geological_age"
"Arundian_Subage_quality","class","owl:Class"
"Arundian_Subage_quality","subClassOf","geological_age"
"Asbian_Subage_quality","class","owl:Class"
"Asbian_Subage_quality","subClassOf","geological_age"
"Ashgill_Epoch_quality","class","owl:Class"
"Ashgill_Epoch_quality","subClassOf","geological_age"
"Asselian_quality","class","owl:Class"
"Asselian_quality","subClassOf","geological_age"
"Asturian_Subage_quality","class","owl:Class"
"Asturian_Subage_quality","subClassOf","geological_age"
"Atokan_Age_quality","class","owl:Class"
"Atokan_Age_quality","subClassOf","geological_age"
"Autunian_Age_quality","class","owl:Class"
"Autunian_Age_quality","subClassOf","geological_age"
"Bajocian_quality","class","owl:Class"
"Bajocian_quality","subClassOf","geological_age"
"Barremian_quality","class","owl:Class"
"Barremian_quality","subClassOf","geological_age"
"Barruelian_Subage_quality","class","owl:Class"
"Barruelian_Subage_quality","subClassOf","geological_age"
"Bartonian_quality","class","owl:Class"
"Bartonian_quality","subClassOf","geological_age"
"Bashkirian_quality","class","owl:Class"
"Bashkirian_quality","subClassOf","geological_age"
"Bathonian_quality","class","owl:Class"
"Bathonian_quality","subClassOf","geological_age"
"Bedouliano_quality","class","owl:Class"
"Bedouliano_quality","subClassOf","geological_age"
"Berriasian_quality","class","owl:Class"
"Berriasian_quality","subClassOf","geological_age"
"Bithynian_Subage_quality","class","owl:Class"
"Bithynian_Subage_quality","subClassOf","geological_age"
"Bolsovian_Subage_quality","class","owl:Class"
"Bolsovian_Subage_quality","subClassOf","geological_age"
"Brigantian_Subage_quality","class","owl:Class"
"Brigantian_Subage_quality","subClassOf","geological_age"
"Buracica_Age_quality","class","owl:Class"
"Buracica_Age_quality","subClassOf","geological_age"
"Burdigalian_quality","class","owl:Class"
"Burdigalian_quality","subClassOf","geological_age"
"Bursumiano_quality","class","owl:Class"
"Bursumiano_quality","subClassOf","geological_age"
"Calabrian_quality","class","owl:Class"
"Calabrian_quality","subClassOf","geological_age"
"Callovian_quality","class","owl:Class"
"Callovian_quality","subClassOf","geological_age"
"Calymmian_quality","class","owl:Class"
"Calymmian_quality","subClassOf","geological_age"
"CambrianSeries2_quality","class","owl:Class"
"CambrianSeries2_quality","subClassOf","geological_age"
"CambrianSeries3_quality","class","owl:Class"
"CambrianSeries3_quality","subClassOf","geological_age"
"CambrianStage10_quality","class","owl:Class"
"CambrianStage10_quality","subClassOf","geological_age"
"CambrianStage2_quality","class","owl:Class"
"CambrianStage2_quality","subClassOf","geological_age"
"CambrianStage3_quality","class","owl:Class"
"CambrianStage3_quality","subClassOf","geological_age"
"CambrianStage4_quality","class","owl:Class"
"CambrianStage4_quality","subClassOf","geological_age"
"CambrianStage5_quality","class","owl:Class"
"CambrianStage5_quality","subClassOf","geological_age"
"CambrianStage9_quality","class","owl:Class"
